"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1992","Check displaying of dashboard page","LMS system","2026-09-25","passed","2026-09-25","Dashboard","Dashboard","",""
"","1649","Navigation from login page to registration page","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","3544","User login with correct email and password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","3327","Edit course","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1601","Check displaying of empty courses list","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1754","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","1829","Registration with correct email, username and password","LMS system","2026-09-25","passed","2026-09-25","Registration","Authentication","",""
"","2167","Create course","LMS system","2026-09-25","passed","2026-09-25","Courses","Courses","",""
"","1966","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
"","2149","User login with wrong email or password","LMS system","2026-09-25","passed","2026-09-25","Authorization","Authentication","",""
